date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:12	40199/40199	---M--	200	added ('OK')	image/png	etag:%226774145a-9d07%22	https://romainduhr.github.io/website/img/icons/pygame.png	./romainduhr.github.io/website/img/icons/pygame.png	(from https://romainduhr.github.io/website/)
18:12:13	51751/51751	---M--	200	added ('OK')	image/jpeg	etag:%226774145a-ca27%22	https://romainduhr.github.io/website/img/thumbnails/thumbnail6.JPG	./romainduhr.github.io/website/img/thumbnails/thumbnail6.jpg	(from https://romainduhr.github.io/website/)
18:12:14	2606/2606	---M--	200	added ('OK')	image/png	etag:%226774145a-a2e%22	https://romainduhr.github.io/website/img/icons/assembly.png	./romainduhr.github.io/website/img/icons/assembly.png	(from https://romainduhr.github.io/website/)
18:12:15	36338/36338	---M--	200	added ('OK')	image/jpeg	etag:%226774145a-8df2%22	https://romainduhr.github.io/website/img/thumbnails/thumbnail7.JPG	./romainduhr.github.io/website/img/thumbnails/thumbnail7.jpg	(from https://romainduhr.github.io/website/)
18:12:16	19644/19644	---M--	200	added ('OK')	image/png	etag:%226774145a-4cbc%22	https://romainduhr.github.io/website/img/icons/vhdl.png	./romainduhr.github.io/website/img/icons/vhdl.png	(from https://romainduhr.github.io/website/)
18:12:17	33114/33114	---M--	200	added ('OK')	image/png	etag:%226774145a-815a%22	https://romainduhr.github.io/website/img/icons/vivado.png	./romainduhr.github.io/website/img/icons/vivado.png	(from https://romainduhr.github.io/website/)
18:12:18	4863/4863	---M--	200	added ('OK')	image/png	etag:%226774145a-12ff%22	https://romainduhr.github.io/website/img/icons/envelope-solid.png	./romainduhr.github.io/website/img/icons/envelope-solid.png	(from https://romainduhr.github.io/website/)
18:12:19	7023/7023	---M--	200	added ('OK')	image/png	etag:%226774145a-1b6f%22	https://romainduhr.github.io/website/img/icons/phone-solid.png	./romainduhr.github.io/website/img/icons/phone-solid.png	(from https://romainduhr.github.io/website/)
18:12:20	5187/5187	---M--	200	added ('OK')	image/png	etag:%226774145a-1443%22	https://romainduhr.github.io/website/img/icons/linkedin.png	./romainduhr.github.io/website/img/icons/linkedin.png	(from https://romainduhr.github.io/website/)
18:12:22	1084799/1084799	---M--	200	added ('OK')	image/jpeg	etag:%226774145a-108d7f%22	https://romainduhr.github.io/website/img/pictures/banner.jpeg	./romainduhr.github.io/website/img/pictures/banner.jpg	(from https://romainduhr.github.io/website/styles/home.css)
